validated_time_rate,highest_version_mean_validated,time_consulting_help,mean_test_per_subject,mean_modification_per_subject,mean_time_active,experimentation_quality,validation_quality,score
Classe3,Classe4,Classe3,Classe2,Classe5,Classe4,Classe1,Classe4,Medium
Classe4,Classe4,Classe1,Classe1,Classe5,Classe4,Classe1,Classe5,High
Classe4,Classe3,Classe1,Classe6,Classe5,Classe4,Classe4,Classe3,Medium
Classe2,Classe1,Classe2,Classe2,Classe1,Classe5,Classe2,Classe3,Low
Classe1,Classe1,Classe5,Classe3,Classe1,Classe5,Classe2,Classe1,Low
Classe1,Classe1,Classe1,Classe1,Classe1,Classe1,Classe1,Classe1,Low
Classe2,Classe1,Classe1,Classe1,Classe1,Classe6,Classe1,Classe4,Low
Classe2,Classe1,Classe3,Classe3,Classe2,Classe6,Classe5,Classe3,Low
Classe2,Classe3,Classe1,Classe2,Classe4,Classe3,Classe2,Classe3,Low
Classe2,Classe2,Classe1,Classe2,Classe5,Classe5,Classe2,Classe3,Low
Classe3,Classe4,Classe1,Classe2,Classe5,Classe5,Classe1,Classe4,Medium
Classe2,Classe3,Classe1,Classe4,Classe3,Classe4,Classe4,Classe3,Medium
Classe3,Classe1,Classe3,Classe3,Classe5,Classe3,Classe2,Classe3,Low
Classe3,Classe2,Classe1,Classe3,Classe5,Classe5,Classe4,Classe4,Low
Classe2,Classe2,Classe1,Classe6,Classe5,Classe4,Classe2,Classe3,Low
Classe3,Classe4,Classe1,Classe2,Classe3,Classe3,Classe2,Classe3,High
Classe2,Classe2,Classe1,Classe3,Classe5,Classe4,Classe1,Classe3,Low
Classe3,Classe2,Classe1,Classe2,Classe3,Classe5,Classe3,Classe4,Low
Classe2,Classe2,Classe1,Classe1,Classe1,Classe5,Classe2,Classe4,Medium
Classe3,Classe2,Classe1,Classe2,Classe2,Classe5,Classe4,Classe5,Low
Classe2,Classe1,Classe1,Classe3,Classe5,Classe3,Classe3,Classe4,Low
Classe2,Classe2,Classe1,Classe3,Classe5,Classe3,Classe4,Classe4,Low
Classe2,Classe3,Classe1,Classe2,Classe2,Classe4,Classe1,Classe3,Medium
Classe3,Classe3,Classe1,Classe2,Classe3,Classe5,Classe2,Classe5,Low
Classe4,Classe3,Classe1,Classe2,Classe2,Classe5,Classe4,Classe5,High
Classe4,Classe3,Classe1,Classe2,Classe3,Classe5,Classe4,Classe4,Medium
Classe2,Classe2,Classe1,Classe6,Classe5,Classe4,Classe1,Classe3,Medium
Classe2,Classe1,Classe1,Classe3,Classe5,Classe5,Classe3,Classe4,Low
Classe3,Classe3,Classe1,Classe2,Classe4,Classe5,Classe3,Classe4,Medium
Classe4,Classe3,Classe1,Classe2,Classe2,Classe4,Classe3,Classe4,High
Classe3,Classe1,Classe1,Classe1,Classe1,Classe5,Classe3,Classe4,Low
Classe4,Classe4,Classe2,Classe2,Classe2,Classe5,Classe3,Classe4,Medium
Classe3,Classe3,Classe1,Classe3,Classe5,Classe3,Classe4,Classe4,Medium
Classe4,Classe3,Classe1,Classe1,Classe5,Classe4,Classe3,Classe5,High
Classe1,Classe1,Classe1,Classe1,Classe1,Classe6,Classe1,Classe1,Low
Classe2,Classe3,Classe2,Classe2,Classe5,Classe3,Classe1,Classe4,Low
Classe2,Classe2,Classe1,Classe1,Classe1,Classe4,Classe3,Classe4,Low
Classe2,Classe1,Classe1,Classe2,Classe1,Classe4,Classe2,Classe4,Low
Classe3,Classe3,Classe3,Classe3,Classe5,Classe3,Classe4,Classe4,High
Classe4,Classe3,Classe2,Classe3,Classe4,Classe3,Classe5,Classe4,High
Classe3,Classe3,Classe3,Classe2,Classe4,Classe3,Classe5,Classe4,High
Classe3,Classe3,Classe1,Classe2,Classe4,Classe5,Classe2,Classe4,High
Classe3,Classe4,Classe3,Classe4,Classe3,Classe4,Classe5,Classe4,Medium
Classe2,Classe1,Classe1,Classe2,Classe2,Classe6,Classe1,Classe4,Low
Classe2,Classe3,Classe1,Classe5,Classe5,Classe3,Classe1,Classe3,Low
Classe2,Classe2,Classe1,Classe4,Classe5,Classe5,Classe3,Classe4,Medium
Classe5,Classe3,Classe2,Classe2,Classe3,Classe4,Classe4,Classe4,High
Classe5,Classe3,Classe1,Classe3,Classe5,Classe3,Classe4,Classe5,High
Classe3,Classe2,Classe1,Classe3,Classe3,Classe2,Classe1,Classe2,Low
Classe4,Classe2,Classe1,Classe3,Classe2,Classe5,Classe4,Classe3,High
Classe3,Classe3,Classe1,Classe4,Classe5,Classe4,Classe4,Classe3,High
Classe3,Classe4,Classe1,Classe4,Classe5,Classe3,Classe4,Classe4,Medium
Classe3,Classe2,Classe1,Classe3,Classe5,Classe3,Classe4,Classe4,High
Classe4,Classe4,Classe1,Classe5,Classe5,Classe3,Classe4,Classe3,Medium
Classe2,Classe2,Classe2,Classe2,Classe4,Classe3,Classe4,Classe2,Medium
Classe3,Classe3,Classe4,Classe3,Classe5,Classe3,Classe2,Classe3,Medium
Classe4,Classe3,Classe1,Classe3,Classe5,Classe3,Classe4,Classe4,High
Classe3,Classe3,Classe2,Classe3,Classe5,Classe3,Classe5,Classe3,Medium
